Area_percentage,Rank_Area,Population_2024,Population_percentage,Rank_Population,Density_2024,Rank_Density,price,roomsCount,ceilingHeight,totalArea,floorNumber,floorsCount,cargoLiftsCount,houseMaterialType_brick,houseMaterialType_monolith,houseMaterialType_monolithBrick,houseMaterialType_none,houseMaterialType_panel
2.62,11,774,5.83,9,1170267.0,5,29000000,3,2.85,61.4,3,5,0,True,False,False,False,False
6.06,4,1,10.74,5,931238.0,9,18200000,1,3.1,35.0,9,29,0,False,True,False,False,False
2.62,11,774,5.83,9,1170267.0,5,1297600000,4,3.25,405.5,2,4,0,True,False,False,False,False
4.03,9,1,10.97,4,1428905.0,1,37540165,3,3.3,83.33,4,17,1,False,False,True,False,False
5.22,5,1,13.32,1,1342273.0,2,11990000,2,2.64,47.6,3,9,0,False,False,False,False,True
6.06,4,1,10.74,5,931238.0,9,14980714,1,2.85,31.1,2,5,0,False,True,False,False,False
2.62,11,774,5.83,9,1170267.0,5,103215000,1,3.25,66.4,15,18,1,False,True,False,False,False
2.62,11,774,5.83,9,1170267.0,5,87639000,2,3.0,111.5,4,8,0,False,False,True,False,False
2.62,11,774,5.83,9,1170267.0,5,225500000,2,,110.0,5,9,0,False,False,False,False,False
3.69,10,1,7.83,8,1114478.0,6,14450000,2,2.5,45.0,5,12,1,False,False,False,False,False
4.03,9,1,10.97,4,1428905.0,1,12600000,2,2.64,52.1,15,16,0,False,False,False,False,True
6.06,4,1,10.74,5,931238.0,9,62598031,2,,45.8,11,18,0,False,True,False,False,False
6.06,4,1,10.74,5,931238.0,9,44900000,2,3.2,48.0,11,41,0,False,True,False,False,False
6.06,4,1,10.74,5,931238.0,9,43900000,3,3.1,81.34,4,42,0,False,True,False,False,False
5.22,5,1,13.32,1,1342273.0,2,14700000,2,2.7,34.8,1,8,0,True,False,False,False,False
6.06,4,1,10.74,5,931238.0,9,69900000,3,,99.0,7,25,0,False,False,False,True,False
4.5,7,1,9.17,7,1070915.0,7,35500000,1,,40.1,6,41,0,False,False,False,True,False
2.62,11,774,5.83,9,1170267.0,5,109479600,2,3.0,111.6,5,8,0,False,False,True,False,False
4.5,7,1,9.17,7,1070915.0,7,31687000,2,3.0,79.9,5,8,0,True,False,False,False,False
4.5,7,1,9.17,7,1070915.0,7,37292000,2,3.0,77.2,6,8,0,True,False,False,False,False
4.65,6,1,11.42,3,1289376.0,4,7600000,1,2.5,38.0,12,16,0,False,False,False,False,True
2.62,11,774,5.83,9,1170267.0,5,107230000,2,3.35,76.1,2,9,1,False,True,False,False,False
6.06,4,1,10.74,5,931238.0,9,52990000,3,3.0,119.4,3,21,0,False,True,False,False,False
4.5,7,1,9.17,7,1070915.0,7,42779999,2,3.15,78.7,3,21,3,False,True,False,False,False
4.5,7,1,9.17,7,1070915.0,7,35000000,2,,63.2,2,17,0,False,True,False,False,False
2.62,11,774,5.83,9,1170267.0,5,630000000,2,,137.1,2,7,0,False,False,True,False,False
2.62,11,774,5.83,9,1170267.0,5,216470000,2,3.5,91.8,2,5,0,False,True,False,False,False
2.62,11,774,5.83,9,1170267.0,5,370000000,3,,183.4,3,4,0,False,True,False,False,False
2.62,11,774,5.83,9,1170267.0,5,12500000,2,2.64,42.6,2,9,0,True,False,False,False,False
4.5,7,1,9.17,7,1070915.0,7,45229999,2,3.15,78.8,9,21,0,False,True,False,False,False
4.41,8,1,10.81,6,1289082.0,3,22000000,2,2.6,57.5,5,5,0,True,False,False,False,False
3.69,10,1,7.83,8,1114478.0,6,13500000,2,2.77,43.0,4,5,0,True,False,False,False,False
5.22,5,1,13.32,1,1342273.0,2,8200000,1,2.53,32.4,1,9,0,False,False,False,False,True
2.62,11,774,5.83,9,1170267.0,5,75000000,1,3.05,60.0,25,61,1,False,True,False,False,False
3.69,10,1,7.83,8,1114478.0,6,31000000,2,,67.9,15,19,0,False,True,False,False,False
4.5,7,1,9.17,7,1070915.0,7,67900000,2,3.2,72.8,33,41,0,False,True,False,False,False
2.62,11,774,5.83,9,1170267.0,5,84000000,2,3.0,96.0,5,18,1,False,False,True,False,False
2.62,11,774,5.83,9,1170267.0,5,69900000,2,4.35,69.4,2,10,0,False,True,False,False,False
6.06,4,1,10.74,5,931238.0,9,7500000,1,2.7,19.7,10,22,2,False,True,False,False,False
6.06,4,1,10.74,5,931238.0,9,40862581,3,3.2,101.8,6,26,1,False,False,True,False,False
2.62,11,774,5.83,9,1170267.0,5,103000000,3,3.35,151.6,5,5,0,True,False,False,False,False
2.62,11,774,5.83,9,1170267.0,5,76250000,2,3.0,61.0,25,61,1,False,True,False,False,False
4.5,7,1,9.17,7,1070915.0,7,68500000,2,,71.8,24,36,0,False,True,False,False,False
5.22,5,1,13.32,1,1342273.0,2,14600000,1,2.7,39.0,15,17,1,False,False,False,False,True
6.13,3,1,11.37,2,974375.0,8,8600000,1,2.65,41.9,2,17,1,False,False,False,False,True
